"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6338","Появление номера заказа в разделе 'В работе' после оформления заказа","tests","Tue Dec 10 21:35:42 CET 2024","passed","Tue Dec 10 21:35:49 CET 2024","TestOrderFeed","test_order_feed","",""
"","264","Открытие всплывающего окна при клике на ингредиент","tests","Tue Dec 10 21:34:09 CET 2024","passed","Tue Dec 10 21:34:10 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1560","Проверка перехода в раздел 'История заказов' на изменение URL","tests","Tue Dec 10 21:36:17 CET 2024","passed","Tue Dec 10 21:36:19 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","1994","Переход по клику на «Конструктор» из личного кабинета","tests","Tue Dec 10 21:33:37 CET 2024","passed","Tue Dec 10 21:33:39 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","2364","Показать/Скрыть пароль делает поле активным","tests","Tue Dec 10 21:36:56 CET 2024","passed","Tue Dec 10 21:36:58 CET 2024","TestPasswordRecovery","test_recovery","",""
"","5264","Увеличение счётчика 'Выполнено за всё время' при создании нового заказа","tests","Tue Dec 10 21:35:08 CET 2024","passed","Tue Dec 10 21:35:14 CET 2024","TestOrderFeed","test_order_feed","",""
"","513","Переход на страницу восстановления пароля","tests","Tue Dec 10 21:36:40 CET 2024","passed","Tue Dec 10 21:36:40 CET 2024","TestPasswordRecovery","test_recovery","",""
"","48","Увеличение счетчика ингредиента при добавлении в заказ","tests","Tue Dec 10 21:34:23 CET 2024","passed","Tue Dec 10 21:34:23 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","992","Авторизованный пользователь видит кнопку оформить заказ","tests","Tue Dec 10 21:34:38 CET 2024","passed","Tue Dec 10 21:34:39 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","5395","Увеличение счётчика 'Выполнено за сегодня' при создании нового заказа","tests","Tue Dec 10 21:35:34 CET 2024","passed","Tue Dec 10 21:35:40 CET 2024","TestOrderFeed","test_order_feed","",""
"","94","Проверка перехода в личный кабинет без авторизации","tests","Tue Dec 10 21:36:11 CET 2024","passed","Tue Dec 10 21:36:11 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","270","Переход по клику на «Конструктор»","tests","Tue Dec 10 21:33:20 CET 2024","passed","Tue Dec 10 21:33:21 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","232","Ввод почты и клик по кнопке восстановления","tests","Tue Dec 10 21:36:43 CET 2024","passed","Tue Dec 10 21:36:43 CET 2024","TestPasswordRecovery","test_recovery","",""
"","265","Переход по клику на «Лента заказов» с главной страницы","tests","Tue Dec 10 21:34:03 CET 2024","passed","Tue Dec 10 21:34:03 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","6888","Появление номера заказа в разделе 'В работе' после оформления заказа","tests","Tue Dec 10 21:35:52 CET 2024","passed","Tue Dec 10 21:35:59 CET 2024","TestOrderFeed","test_order_feed","",""
"","852","Переход на «Конструктор» после авторизации","tests","Tue Dec 10 21:33:24 CET 2024","passed","Tue Dec 10 21:33:24 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","49","Увеличение счетчика ингредиента при добавлении в заказ","tests","Tue Dec 10 21:34:19 CET 2024","passed","Tue Dec 10 21:34:19 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","847","Переход по клику на «Лента заказов» с главной страницы после авторизации","tests","Tue Dec 10 21:33:51 CET 2024","passed","Tue Dec 10 21:33:52 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","276","Проверка перехода в личный кабинет без авторизации","tests","Tue Dec 10 21:36:14 CET 2024","passed","Tue Dec 10 21:36:14 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","1069","Авторизованный пользователь может оформить заказ","tests","Tue Dec 10 21:34:25 CET 2024","passed","Tue Dec 10 21:34:26 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","89","Переход по клику на «Лента заказов» с главной страницы","tests","Tue Dec 10 21:34:00 CET 2024","passed","Tue Dec 10 21:34:00 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1370","Проверка перехода в личный кабинет после авторизации пользователя","tests","Tue Dec 10 21:36:01 CET 2024","passed","Tue Dec 10 21:36:03 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","759","Ввод почты и клик по кнопке восстановления","tests","Tue Dec 10 21:36:47 CET 2024","passed","Tue Dec 10 21:36:47 CET 2024","TestPasswordRecovery","test_recovery","",""
"","1783","Авторизованный пользователь может оформить заказ","tests","Tue Dec 10 21:34:29 CET 2024","passed","Tue Dec 10 21:34:31 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","5123","Увеличение счётчика 'Выполнено за сегодня' при создании нового заказа","tests","Tue Dec 10 21:35:26 CET 2024","passed","Tue Dec 10 21:35:31 CET 2024","TestOrderFeed","test_order_feed","",""
"","1755","Переход на «Конструктор» после авторизации","tests","Tue Dec 10 21:33:28 CET 2024","passed","Tue Dec 10 21:33:29 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","89","Переход по клику на «Конструктор»","tests","Tue Dec 10 21:33:17 CET 2024","passed","Tue Dec 10 21:33:17 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","7137","Отображение заказов из 'Истории заказов' в 'Ленте заказов'","tests","Tue Dec 10 21:34:59 CET 2024","passed","Tue Dec 10 21:35:06 CET 2024","TestOrderFeed","test_order_feed","",""
"","834","Открытие всплывающего окна при клике на заказ","tests","Tue Dec 10 21:34:45 CET 2024","passed","Tue Dec 10 21:34:46 CET 2024","TestOrderFeed","test_order_feed","",""
"","1749","Переход по клику на «Лента заказов» с главной страницы после авторизации","tests","Tue Dec 10 21:33:55 CET 2024","passed","Tue Dec 10 21:33:57 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","2263","Показать/Скрыть пароль делает поле активным","tests","Tue Dec 10 21:36:50 CET 2024","passed","Tue Dec 10 21:36:52 CET 2024","TestPasswordRecovery","test_recovery","",""
"","6244","Отображение заказов из 'Истории заказов' в 'Ленте заказов'","tests","Tue Dec 10 21:34:49 CET 2024","passed","Tue Dec 10 21:34:55 CET 2024","TestOrderFeed","test_order_feed","",""
"","132","Переход на страницу восстановления пароля","tests","Tue Dec 10 21:36:37 CET 2024","passed","Tue Dec 10 21:36:37 CET 2024","TestPasswordRecovery","test_recovery","",""
"","1451","Переход по клику на «Конструктор» из личного кабинета","tests","Tue Dec 10 21:33:32 CET 2024","passed","Tue Dec 10 21:33:34 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1464","Переход по клику на «Лента заказов» из личного кабинета","tests","Tue Dec 10 21:33:42 CET 2024","passed","Tue Dec 10 21:33:43 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","84","Открытие всплывающего окна при клике на ингредиент","tests","Tue Dec 10 21:34:06 CET 2024","passed","Tue Dec 10 21:34:06 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","2003","Переход по клику на «Лента заказов» из личного кабинета","tests","Tue Dec 10 21:33:46 CET 2024","passed","Tue Dec 10 21:33:48 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1747","Проверка перехода в личный кабинет после авторизации пользователя","tests","Tue Dec 10 21:36:06 CET 2024","passed","Tue Dec 10 21:36:08 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","2488","Проверка выхода из аккаунта","tests","Tue Dec 10 21:36:31 CET 2024","passed","Tue Dec 10 21:36:34 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","715","Открытие всплывающего окна при клике на заказ","tests","Tue Dec 10 21:34:41 CET 2024","passed","Tue Dec 10 21:34:42 CET 2024","TestOrderFeed","test_order_feed","",""
"","432","Авторизованный пользователь видит кнопку оформить заказ","tests","Tue Dec 10 21:34:34 CET 2024","passed","Tue Dec 10 21:34:34 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","514","Закрытие всплывающего окна кликом по крестику","tests","Tue Dec 10 21:34:16 CET 2024","passed","Tue Dec 10 21:34:17 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","643","Закрытие всплывающего окна кликом по крестику","tests","Tue Dec 10 21:34:12 CET 2024","passed","Tue Dec 10 21:34:13 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1988","Проверка перехода в раздел 'История заказов' на изменение URL","tests","Tue Dec 10 21:36:22 CET 2024","passed","Tue Dec 10 21:36:24 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","6118","Увеличение счётчика 'Выполнено за всё время' при создании нового заказа","tests","Tue Dec 10 21:35:17 CET 2024","passed","Tue Dec 10 21:35:23 CET 2024","TestOrderFeed","test_order_feed","",""
"","1587","Проверка выхода из аккаунта","tests","Tue Dec 10 21:36:26 CET 2024","passed","Tue Dec 10 21:36:28 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
